Date,Open,High,Low,Close,Adj Close,Volume
2021-07-13,6.430000,6.490000,6.080000,6.090000,6.090000,9491200
2021-07-14,6.120000,6.130000,5.700000,5.720000,5.720000,13299500
2021-07-15,5.740000,6.150000,5.580000,5.840000,5.840000,12898500
2021-07-16,5.840000,5.910000,5.680000,5.770000,5.770000,10158000
2021-07-19,5.610000,6.000000,5.510000,5.900000,5.900000,11557000
2021-07-20,5.920000,6.170000,5.580000,6.140000,6.140000,12479100
2021-07-21,6.100000,6.440000,6.020000,6.370000,6.370000,9289800
2021-07-22,6.380000,6.470000,6.100000,6.160000,6.160000,7508500
2021-07-23,6.120000,6.170000,5.880000,5.970000,5.970000,6537400
2021-07-26,5.920000,6.070000,5.730000,5.870000,5.870000,7339400
2021-07-27,5.790000,5.980000,5.590000,5.780000,5.780000,7277000
2021-07-28,5.840000,6.260000,5.810000,6.190000,6.190000,9196800
2021-07-29,6.220000,6.330000,5.990000,6.090000,6.090000,6718500
2021-07-30,6.000000,6.110000,5.870000,5.930000,5.930000,6183000
2021-08-02,6.000000,6.180000,5.890000,6.030000,6.030000,7655500
2021-08-03,6.130000,6.130000,5.780000,5.920000,5.920000,8188900
2021-08-04,5.900000,6.160000,5.840000,5.860000,5.860000,13014000
2021-08-05,5.710000,6.310000,5.570000,6.240000,6.240000,15156200
2021-08-06,6.220000,6.350000,6.020000,6.320000,6.320000,8110400
2021-08-09,6.280000,6.370000,6.160000,6.180000,6.180000,8408200
2021-08-10,6.200000,6.280000,6.110000,6.120000,6.120000,6542500
2021-08-11,6.130000,6.140000,5.780000,6.040000,6.040000,9577900
2021-08-12,6.000000,6.030000,5.840000,5.960000,5.960000,4586700
2021-08-13,5.950000,5.990000,5.670000,5.690000,5.690000,6977300
2021-08-16,5.650000,5.670000,5.430000,5.550000,5.550000,8890900
2021-08-17,5.460000,5.580000,5.210000,5.340000,5.340000,9679000
2021-08-18,5.470000,5.480000,5.220000,5.240000,5.240000,7884700
2021-08-19,5.180000,5.400000,5.120000,5.140000,5.140000,8009000
2021-08-20,5.150000,5.430000,5.140000,5.390000,5.390000,7369300
2021-08-23,5.420000,5.600000,5.350000,5.570000,5.570000,6438300
2021-08-24,5.610000,5.800000,5.460000,5.780000,5.780000,6665100
2021-08-25,5.720000,6.000000,5.680000,5.830000,5.830000,9702700
2021-08-26,5.880000,5.940000,5.640000,5.670000,5.670000,5412900
2021-08-27,5.690000,5.980000,5.660000,5.880000,5.880000,6923400
2021-08-30,5.930000,5.950000,5.690000,5.730000,5.730000,8038900
2021-08-31,5.720000,5.940000,5.660000,5.830000,5.830000,6977000
2021-09-01,5.790000,5.940000,5.760000,5.890000,5.890000,5476200
2021-09-02,5.940000,6.080000,5.890000,5.960000,5.960000,7768800
2021-09-03,5.920000,5.990000,5.750000,5.860000,5.860000,5030000
2021-09-07,5.830000,5.980000,5.760000,5.790000,5.790000,5841400
2021-09-08,5.790000,5.790000,5.460000,5.520000,5.520000,5716200
2021-09-09,5.520000,5.930000,5.480000,5.790000,5.790000,9969900
2021-09-10,5.790000,5.820000,5.570000,5.570000,5.570000,6154700
2021-09-13,5.600000,5.600000,5.300000,5.350000,5.350000,8515300
2021-09-14,5.380000,5.430000,5.140000,5.200000,5.200000,8383900
2021-09-15,5.180000,5.320000,5.120000,5.280000,5.280000,4405600
2021-09-16,5.360000,5.360000,5.130000,5.290000,5.290000,8568300
2021-09-17,5.430000,5.570000,5.320000,5.560000,5.560000,14268800
2021-09-20,5.320000,5.380000,5.060000,5.170000,5.170000,13106700
2021-09-21,5.220000,5.300000,5.130000,5.190000,5.190000,6526300
2021-09-22,5.270000,5.560000,5.200000,5.460000,5.460000,9949900
2021-09-23,5.520000,5.650000,5.430000,5.640000,5.640000,6746800
2021-09-24,5.550000,5.600000,5.460000,5.490000,5.490000,4663900
2021-09-27,5.560000,5.670000,5.430000,5.540000,5.540000,7471100
2021-09-28,5.490000,5.520000,5.340000,5.460000,5.460000,8927500
2021-09-29,5.470000,5.540000,5.200000,5.210000,5.210000,7475900
2021-09-30,5.250000,5.600000,5.240000,5.500000,5.500000,8672700
2021-10-01,5.470000,5.480000,5.130000,5.220000,5.220000,10259800
2021-10-04,5.240000,5.250000,4.970000,5.060000,5.060000,10292000
2021-10-05,5.050000,5.160000,4.980000,5.100000,5.100000,5321200
2021-10-06,5.000000,5.080000,4.950000,4.960000,4.960000,5853900
2021-10-07,5.010000,5.300000,4.920000,5.180000,5.180000,8175500
2021-10-08,5.190000,5.360000,5.110000,5.150000,5.150000,5427100
